create_timestamp,player_id,score
2022/09/10 23:36,player5206,44201
2022/09/10 23:36,player2941,3208
2022/09/10 23:36,player6286,631
2022/09/10 23:36,player2968,35338
2022/09/10 23:36,player6135,46220
2022/09/10 23:36,player8373,26203
2022/09/10 23:36,player7215,41181
2022/09/10 23:36,player0608,42373
2022/09/10 23:36,player3896,38506
2022/09/10 23:36,player8435,52740
2022/09/10 23:36,player9281,23909
2022/09/10 23:36,player2333,6078
2022/09/10 23:36,player3623,92522
2022/09/10 23:36,player2150,12400
2022/09/10 23:36,player2573,74942
2022/09/10 23:36,player2917,77147
2022/09/10 23:36,player8252,94193
2022/09/10 23:36,player8209,15809
2022/09/10 23:36,player1826,7661
2022/09/10 23:36,player6151,61425
2022/09/10 23:36,player7490,13190
2022/09/10 23:36,player8136,24416
2022/09/10 23:36,player5005,74850
2022/09/10 23:36,player1356,45065
2022/09/10 23:36,player8968,50983
2022/09/10 23:36,player3724,89829
2022/09/10 23:36,player1498,92775
2022/09/10 23:36,player0281,79119
2022/09/10 23:36,player8666,15969
2022/09/10 23:36,player0179,28787
2022/09/10 23:36,player5313,59588
2022/09/10 23:36,player5300,92241
2022/09/10 23:36,player0696,26463
2022/09/10 23:36,player6817,63354
2022/09/10 23:36,player3289,38988
2022/09/10 23:36,player8290,89257
2022/09/10 23:36,player8630,50516
2022/09/10 23:36,player5740,5213
2022/09/10 23:36,player4348,94922
2022/09/10 23:36,player2816,10645
2022/09/10 23:36,player1598,6274
2022/09/10 23:36,player6700,21782
2022/09/10 23:36,player2309,11824
2022/09/10 23:36,player1956,20435
2022/09/10 23:36,player1429,4377
2022/09/10 23:36,player0435,71212
2022/09/10 23:36,player3492,63912
2022/09/10 23:36,player1712,73030
2022/09/10 23:36,player5027,81466
2022/09/10 23:36,player8015,45219
2022/09/10 23:36,player6525,14973
2022/09/10 23:36,player8471,9381
2022/09/10 23:36,player1459,30681
2022/09/10 23:36,player6489,11562
2022/09/10 23:36,player0667,7164
2022/09/10 23:36,player5934,51859
2022/09/10 23:36,player9454,77483
2022/09/10 23:36,player3517,8847
2022/09/10 23:36,player7342,68134
2022/09/10 23:36,player1351,78754
2022/09/10 23:36,player3006,38799
2022/09/10 23:36,player1516,81926
2022/09/10 23:36,player7553,88357
2022/09/10 23:36,player2514,52006
2022/09/10 23:36,player0282,25323
2022/09/10 23:36,player7057,4648
2022/09/10 23:36,player5372,97526
2022/09/10 23:36,player6684,16833
2022/09/10 23:36,player2389,49393
2022/09/10 23:36,player1391,10177
2022/09/10 23:36,player9787,52885
2022/09/10 23:36,player1962,67015
2022/09/10 23:36,player9347,10311
2022/09/10 23:36,player0903,98282
2022/09/10 23:36,player5703,96625
2022/09/10 23:36,player9258,18885
2022/09/10 23:36,player8529,78481
2022/09/10 23:36,player7917,73018
2022/09/10 23:36,player5068,92863
2022/09/10 23:36,player8420,28991
2022/09/10 23:36,player8014,329
2022/09/10 23:36,player8070,92465
2022/09/10 23:36,player1192,93022
2022/09/10 23:36,player7539,38332
2022/09/10 23:36,player6690,57845
2022/09/10 23:36,player3432,61650
2022/09/10 23:36,player3860,15296
2022/09/10 23:36,player9139,35373
2022/09/10 23:36,player5497,75577
2022/09/10 23:36,player6489,87123
2022/09/10 23:36,player5108,64930
2022/09/10 23:36,player6318,75060
2022/09/10 23:36,player9164,86413
2022/09/10 23:36,player6132,65309
2022/09/10 23:36,player1658,41855
2022/09/10 23:36,player1122,31115
2022/09/10 23:36,player4527,27196
2022/09/10 23:36,player9837,55942
2022/09/10 23:36,player1689,51563
2022/09/10 23:36,player8672,36653
